komm,jordtype,aar_mod,saamng,tkvs,saakern,partigerm,saatid,frspdag,jordinf,markgrm,antplnt,forfrugt,pesticid,exptgens,nedbarea,nmin,mod_nmin,ngodnt,nopt,potnmin,jordn,ngodnn,ngodn,nplac,dg25,ngtilg,ntilg,rokap,dgv1059,sort,sorttkv,aks_m2,dgv5980,aks_vgt,bgbyg,keraks,srtsize,ksort,nprot,srtprot,protein,s2225,s2528,slt22,spndx,tkv,udb
state1,Jb_1_,x_20,x90_110,x40_42,x225_275,x80_85,x_26_4,x15_17,x_94__90,x_75,x175_225,Clovergrass,x_2,x30_40,x3___500_,x0_15,x15_30,x60_75,x120_135,x45_60,x75_90,x45_60,x45_60,worked_in_solil,x_22_5,x45_60,x135_150,x37_5_62_5,x25_40,Bartok,x4,x650_750,x5_10,x850_950,x_3_0,x13_15,x_1,x_98,x80_100,x4,x_12_0,x0_1,x0_5,x0_1,x9_10,x42_5_45,x60_65
state0,JB_4,x5,x70_90,x48_50,x_175,x98_99,x26_3_10_4,x21_23,x_99_1_00,x98__99,x_175,Beets,x_2,x40_50,x2__375_500_,x30_45,x30_45,x75_90,x120_135,x45_60,x75_90,x_45,x_45,Placed,x37_5_47_5,x_45,x105_120,x112_5_137_5,x61_70,x_321rja,x6,x750_950,x5_10,x850_950,x4_0_4_5,x17_19,x1,x95_98,x80_100,x5,x11_5_12_0,x0_1,x0_5,x3_5,x9_10,x40_42_5,x70_80
state2,JB_4,x15,x70_90,x42_44,x175_225,x90_93,x21_4_26_4,x_15,x_99_1_00,x90_93,x175_225,Other,x_2,x40_50,x2__375_500_,x30_45,x15_30,x90_105,x120_135,x30_45,x45_60,x60_75,x60_75,Placed,x47_5_57_5,x60_75,x105_120,x112_5_137_5,x25_40,Prisma,x5,x450_550,x25_35,x850_950,x_3_0,x15_17,x2,x_98,x60_80,x2,x10_5_11_0,x0_1,x0_5,x1_2,x9_10,x42_5_45,x40_50
state1,JB_6,x_25,x50_70,x50_55,x_175,x99_100,x11_4_20_4,x_15,x_97__98,x97_98,x_175,Cereals,x_2,x50_60,x1___375_,x45_60,x_75,x60_75,x150_165,x30_45,x105_120,x_45,x_45,worked_in_solil,x_22_5,x_45,x135_150,x162_5_187_5,x51_60,Lysimax,x1,x650_750,x15_25,x850_950,x3_5_4_0,x_23,x1,x_85,x100_120,x5,x_12_0,x5_10,x25_30,x3_5,x9_10,x35_40,x60_65
state0,JB_8,x10,x130_150,x42_44,x325_375,x93_95,x26_3_10_4,x17_19,x_99_1_00,x94_95,x325_375,Cer_rotation,x_2,x40_50,x3___500_,x30_45,x15_30,x90_105,x120_135,x30_45,x60_75,x60_75,x60_75,Top_dressed,x_22_5,x45_60,x105_120,x187_5_212_5,x61_70,Selim,x5,x750_950,x0_5,x550_600,x4_5_5_0,x17_19,x2,x_85,x80_100,x3,x_12_0,x5_10,x20_25,x3_5,x9_10,x35_40,x40_50
state2,JB_5,x0,x130_150,x50_55,x225_275,x80_85,x_26_4,x_15,x_99_1_00,x80_85,x175_225,Clovergrass,x_2,x50_60,x1___375_,x30_45,x15_30,x90_105,x135_150,x45_60,x90_105,x45_60,x45_60,Top_dressed,x37_5_47_5,x_45,x120_135,x137_5_162_5,x51_60,Limbo,x5,x550_650,x0_5,x750_850,x4_5_5_0,x15_17,x2,x95_98,x100_120,x3,x9_5_10_0,x0_1,x0_5,x3_5,x9_10,x42_5_45,x40_50
state3,JB_4,x_25,x110_130,x42_44,x275_325,x90_93,x26_3_10_4,x_15,x_99_1_00,x90_93,x225_275,Cer_rotation,x_2,x40_50,x3___500_,x15_30,x45_60,x60_75,x120_135,x0_15,x45_60,x75_90,x60_75,Placed,x11_5_27_5,x60_75,x105_120,x112_5_137_5,x61_70,Portia,x6,x650_750,x5_10,x850_950,x3_5_4_0,x15_17,x3,x_98,x60_80,x4,x11_0_11_5,x0_1,x0_5,x1_2,x9_10,x35_40,x60_65
state0,JB_8,x10,x110_130,x40_42,x275_325,x95_97,x_26_4,x19_21,x_99_1_00,x95_97,x275_325,Beets,x_2,x40_50,x2__375_500_,x15_30,x0_15,x105_120,x120_135,x90_105,x105_120,x_45,x_45,Placed,x37_5_47_5,x_45,x135_150,x187_5_212_5,x51_60,Delibes,x7,x550_650,x0_5,x850_950,x4_5_5_0,x19_21,x0,x90_95,x100_120,x3,x_12_0,x0_1,x5_10,x3_5,x9_10,x50_55,x50_55
state4,JB_9,x20,x50_70,x35_40,x_175,x95_97,x_26_4,x15_17,x93__95,x90_93,x_175,Beets,x_2,x40_50,x1___375_,x30_45,x15_30,x90_105,x135_150,x60_75,x75_90,x60_75,x60_75,Top_dressed,x_22_5,x45_60,x135_150,x162_5_187_5,x41_50,Portia,x5,x650_750,x0_5,x700_750,x4_5_5_0,x15_17,x3,x90_95,x80_100,x4,x11_5_12_0,x0_1,x0_5,x3_5,x9_10,x45_47_5,x50_55
state4,JB_9,x_5,x190_210,x44_46,x_450,x97_98,x21_4_26_4,x_15,x_99_1_00,x97_98,x_425,Beets,x_2,x40_50,x3___500_,x45_60,x45_60,x60_75,x135_150,x_105,x_120,x_45,x_45,Top_dressed,x_22_5,x45_60,x180_195,x187_5_212_5,x51_60,andre,x2,x750_950,x5_10,x750_850,x4_5_5_0,x21_23,x__1,x_85,x120_140,x5,x_12_0,x5_10,x25_30,x3_5,x9_10,x40_42_5,x65_70
state3,JB_8,x5,x170_190,x42_44,x375_424,x93_95,x11_4_20_4,x_15,x_95__97,x90_93,x325_375,Cereals,x_2,x_30,x3___500_,x30_45,x30_45,x60_75,x_120,x15_30,x45_60,x45_60,x45_60,Top_dressed,x37_5_47_5,x_45,x75_90,x187_5_212_5,x51_60,Cooper,x4,x450_550,x0_5,x700_750,x4_5_5_0,x17_19,x0,x_85,x60_80,x3,x_12_0,x1_5,x15_20,x3_5,x9_10,x40_42_5,x30_40
