Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,AMDewptCalPl,ScenRelAMIns,LIfr12ZDENSd,AMInsWliScen,AMInstabMt,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,CapInScen,LatestCIN,LLIW,CurPropConv,Dewpoints,LoLevMoistAd,InsChange,InsSclInScen,LowLLapse,MeanRH,MidLLapse,MountainFcst,MvmtFeatures,ScenRel3_4,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
May15_Jun14,J,CThruK,PartInhibit,Average,Instability,CDEJ,N1GtLIGt_4,LessUnstable,Weak,Down,StronUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,Other,Strong,Weak,Strong,None,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Moderate,Moderate,LowAtStation,Negative,Decreasing,LessUnstable,Steep,Dry,Steep,SIG,NoMajor,GJ,J,XNIL,XNIL,SIG,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LV
Aug20_Sep15,K,CThruK,Stifling,MoreThanAve,Stability,K,LILt_8,Average,None,Neutral,Down,StrongUp,Neutral,Neutral,Dry,VeryWet,Dry,Dry,PC,PC,PC,PC,None,Other,None,None,None,None,DecCapIncIns,Decreasing,MoreThanAve,PartInhibit,Moderate,Slight,LowAtStation,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Dry,Steep,XNIL,StrongFront,ACEFK,K,XNIL,XNIL,XNIL,DryMMoistL,MovingFtorOt,NegToPos,Moving,NWQuad,Westerly,LongAnticyc
Jul16_Aug10,E,CThruK,None,Average,Neutral,CDEJ,N1GtLIGt_4,Average,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Dry,Clear,PC,PC,PC,Strong,Westerly,None,None,None,None,LittleChange,LittleChange,Average,PartInhibit,Weak,Slight,LowMtsHighPl,Negative,Decreasing,LessUnstable,CloseToDryAd,Average,Steep,SIG,NoMajor,ACEFK,E,SVR,SVR,SVR,MoistMDryL,Other,LittleChange,None,SWQuad,LVorOther,LV
Aug11_Aug20,G,CThruK,PartInhibit,LessThanAve,Stability,G,N5GtLIGt_8,Average,None,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Wet,Neutral,Wet,PC,Cloudy,Cloudy,Cloudy,Weak,Other,Weak,None,Weak,None,IncCapDecIns,Increasing,LessThanAve,Stifling,Unfavorable,None,LowAtStation,Negative,Increasing,Average,CloseToDryAd,Dry,CloseToDryAd,SIG,MarkedUpper,GJ,G,XNIL,XNIL,SIG,MoistMDryL,DryLine,PosToNeg,None,SWQuad,Westerly,LongAnticyc
Aug20_Sep15,K,CThruK,None,LessThanAve,Stability,K,N5GtLIGt_8,Average,Strong,StrongUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,Dry,VeryWet,VeryWet,Cloudy,Cloudy,Cloudy,Cloudy,Strong,StrongWest,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Moderate,None,LowAtStation,WeakPos,Increasing,Average,ModerateOrLe,Average,ModerateOrLe,SIG,MarkedUpper,ACEFK,K,XNIL,XNIL,SIG,MoistMDryL,E_W_N,PosToNeg,Moving,AllElse,Westerly,WidespdDnsl
May15_Jun14,A,AB,PartInhibit,LessThanAve,Neutral,ABI,N1GtLIGt_4,MoreUnstable,Strong,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,Wet,VeryWet,Clear,PC,PC,PC,Strong,Other,None,Weak,Weak,None,IncCapDecIns,Increasing,LessThanAve,None,Weak,Slight,Other,Neutral,Increasing,MoreUnstable,Steep,Average,Steep,SIG,MarkedUpper,ACEFK,A,SVR,SVR,SVR,Other,MovingFtorOt,SigNegative,Other,SWQuad,Westerly,DenvCyclone
Aug11_Aug20,I,CThruK,PartInhibit,Average,Stability,ABI,N1GtLIGt_4,LessUnstable,Weak,StrongUp,WeakUp,WeakUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Wet,Cloudy,Clear,Cloudy,Cloudy,Weak,DCVZFavor,Weak,None,None,Some,LittleChange,LittleChange,MoreThanAve,PartInhibit,Unfavorable,None,LowSHighN,WeakPos,Increasing,MoreUnstable,ModerateOrLe,Average,Steep,SIG,StrongFront,HI,I,SIG,SIG,SIG,DryMMoistL,E_W_S,SigPositive,QStationary,SWQuad,LVorOther,E_NE
Jul16_Aug10,F,CThruK,PartInhibit,LessThanAve,Stability,F,N5GtLIGt_8,LessUnstable,None,Neutral,Neutral,Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,PC,PC,PC,PC,None,DCVZFavor,None,Weak,Weak,None,IncCapDecIns,Increasing,Average,None,Strong,Strong,HighEvrywher,Negative,LittleChange,LessUnstable,Steep,VeryMoist,ModerateOrLe,XNIL,MarkedUpper,ACEFK,F,XNIL,XNIL,XNIL,Other,None,SigNegative,None,AllElse,LVorOther,SEQuad
Jun15_Jul1,I,CThruK,PartInhibit,Average,Stability,ABI,N1GtLIGt_4,LessUnstable,None,Down,StronUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,Clear,Cloudy,Cloudy,Cloudy,None,DCVZFavor,None,Weak,Weak,None,IncCapDecIns,Increasing,MoreThanAve,None,Weak,Moderate,LowSHighN,Neutral,Increasing,Average,Steep,Dry,CloseToDryAd,XNIL,OtherRapid,HI,I,XNIL,XNIL,XNIL,DryMMoistL,E_W_N,PosToNeg,QStationary,AllElse,Westerly,DenvCyclone
May15_Jun14,I,CThruK,PartInhibit,Average,Instability,ABI,N1GtLIGt_4,LessUnstable,Strong,WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Dry,Wet,Neutral,Neutral,Cloudy,PC,Cloudy,PC,Strong,Westerly,Strong,None,Strong,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Moderate,None,LowSHighN,Negative,Decreasing,LessUnstable,Steep,VeryMoist,CloseToDryAd,SVR,OtherRapid,HI,I,XNIL,XNIL,SVR,Other,E_W_S,SigPositive,QStationary,LV,LVorOther,DenvCyclone
Jul2_Jul15,G,CThruK,TotalInhibit,MoreThanAve,Stability,G,N5GtLIGt_8,Average,Strong,Neutral,Neutral,WeakUp,WeakUp,WeakUp,Wet,Dry,VeryWet,VeryWet,PC,Cloudy,Cloudy,Cloudy,Strong,DCVZFavor,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Moderate,LowEvrywhere,Neutral,Increasing,MoreUnstable,CloseToDryAd,Dry,Steep,SIG,NoMajor,GJ,G,SVR,SVR,SVR,Other,None,PosToNeg,None,AllElse,LVorOther,WidespdDnsl
Jul2_Jul15,D,CThruK,Stifling,MoreThanAve,Stability,CDEJ,N1GtLIGt_4,MoreUnstable,None,Neutral,Neutral,WeakUp,Neutral,Neutral,Dry,Neutral,Wet,Wet,PC,Clear,Clear,PC,None,StrongWest,None,Weak,Strong,None,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Strong,Strong,LowMtsHighPl,Negative,LittleChange,Average,ModerateOrLe,Dry,Steep,XNIL,MarkedUpper,D,D,SVR,SVR,SVR,DryMMoistL,None,SigNegative,None,NWQuad,Westerly,WidespdDnsl
Jul16_Aug10,J,CThruK,PartInhibit,LessThanAve,Stability,CDEJ,N1GtLIGt_4,LessUnstable,Weak,StrongUp,Neutral,Down,Neutral,Neutral,Wet,Neutral,VeryWet,VeryWet,PC,Cloudy,Cloudy,Cloudy,Strong,DCVZFavor,None,None,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Strong,LowSHighN,Neutral,Increasing,MoreUnstable,Stable,VeryMoist,CloseToDryAd,SVR,NoMajor,GJ,J,XNIL,XNIL,SVR,Other,None,LittleChange,None,LV,LVorOther,LV
Aug20_Sep15,K,CThruK,PartInhibit,LessThanAve,Stability,K,N1GtLIGt_4,LessUnstable,Strong,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Wet,Neutral,Wet,PC,Cloudy,Cloudy,Cloudy,Strong,Westerly,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,LessThanAve,None,Strong,Strong,Other,Negative,Decreasing,LessUnstable,Stable,Dry,ModerateOrLe,SIG,StrongFront,ACEFK,K,SVR,SVR,SVR,DryMMoistL,MovingFtorOt,PosToNeg,Moving,AllElse,LVorOther,WidespdDnsl
May15_Jun14,C,CThruK,None,LessThanAve,Stability,CDEJ,N1GtLIGt_4,LessUnstable,Weak,Neutral,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,Strong,Westerly,Strong,None,Weak,Marked,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Weak,None,Other,WeakPos,Decreasing,LessUnstable,Steep,Dry,CloseToDryAd,XNIL,OtherRapid,ACEFK,C,XNIL,XNIL,XNIL,MoistMDryL,E_W_S,NegToPos,None,AllElse,Westerly,LongAnticyc
May15_Jun14,B,AB,PartInhibit,Average,Instability,ABI,N1GtLIGt_4,Average,Weak,WeakUp,Down,Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,Clear,Clear,Clear,Strong,Westerly,Strong,None,Weak,None,LittleChange,LittleChange,Average,None,Weak,Moderate,LowMtsHighPl,WeakPos,Increasing,MoreUnstable,Steep,Dry,CloseToDryAd,XNIL,NoMajor,B,B,SIG,SIG,SIG,DryMMoistL,DenvCyclone,PosToNeg,QStationary,NWQuad,Westerly,DenvCyclone
Jun15_Jul1,J,CThruK,Stifling,MoreThanAve,Stability,CDEJ,N1GtLIGt_4,LessUnstable,None,StrongUp,Down,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Dry,PC,PC,Clear,Clear,None,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,MoreThanAve,None,Moderate,Slight,LowNHighS,Negative,LittleChange,LessUnstable,Steep,Dry,Steep,XNIL,NoMajor,GJ,J,XNIL,XNIL,XNIL,Other,DryLine,LittleChange,QStationary,LV,LVorOther,LV
Aug20_Sep15,K,CThruK,PartInhibit,LessThanAve,Stability,K,N1GtLIGt_4,LessUnstable,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,Wet,VeryWet,PC,PC,Clear,Clear,Strong,Westerly,Strong,Strong,Strong,Some,LittleChange,LittleChange,LessThanAve,PartInhibit,Weak,None,LowSHighN,Negative,Decreasing,LessUnstable,ModerateOrLe,VeryMoist,CloseToDryAd,SIG,MarkedUpper,ACEFK,K,XNIL,XNIL,SIG,Other,MovingFtorOt,LittleChange,Other,NWQuad,LVorOther,WidespdDnsl
Jul16_Aug10,B,AB,Stifling,LessThanAve,Stability,ABI,N1GtLIGt_4,Average,None,WeakUp,Down,Down,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,None,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,LessThanAve,TotalInhibit,Weak,None,LowAtStation,Neutral,Increasing,MoreUnstable,Stable,Average,ModerateOrLe,XNIL,MarkedUpper,B,B,XNIL,XNIL,XNIL,Other,MovingFtorOt,PosToNeg,Other,SWQuad,LVorOther,SEQuad
Jun15_Jul1,D,CThruK,Stifling,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,Weak,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Cloudy,Clear,Clear,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Average,TotalInhibit,Strong,None,LowAtStation,StrongPos,Increasing,MoreUnstable,Steep,Dry,CloseToDryAd,XNIL,OtherRapid,D,D,SIG,SIG,SIG,Other,None,SigPositive,None,AllElse,Westerly,SEQuad
Aug11_Aug20,J,CThruK,TotalInhibit,MoreThanAve,Neutral,CDEJ,N5GtLIGt_8,MoreUnstable,None,StrongUp,WeakUp,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,Westerly,None,Strong,Strong,None,DecCapIncIns,Decreasing,Average,PartInhibit,Weak,None,LowAtStation,Negative,LittleChange,MoreUnstable,CloseToDryAd,Dry,ModerateOrLe,XNIL,NoMajor,GJ,J,XNIL,XNIL,XNIL,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,LV
Jun15_Jul1,C,CThruK,None,Average,Neutral,CDEJ,N1GtLIGt_4,Average,None,Down,Neutral,Down,Neutral,Neutral,Wet,Neutral,VeryWet,VeryWet,Clear,Cloudy,Clear,Clear,Weak,DCVZFavor,None,None,Weak,Some,LittleChange,LittleChange,LessThanAve,Stifling,Moderate,Slight,LowMtsHighPl,Negative,LittleChange,LessUnstable,Steep,Dry,Steep,XNIL,NoMajor,ACEFK,C,XNIL,XNIL,XNIL,MoistMDryL,E_W_N,SigNegative,None,NWQuad,Westerly,LongAnticyc
Jul2_Jul15,I,CThruK,PartInhibit,Average,Instability,ABI,N5GtLIGt_8,MoreUnstable,Weak,StrongUp,StronUp,Down,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,PC,PC,PC,PC,Strong,Westerly,Strong,None,Strong,Some,LittleChange,LittleChange,Average,None,Moderate,Strong,LowSHighN,WeakPos,LittleChange,MoreUnstable,ModerateOrLe,Dry,CloseToDryAd,SVR,NoMajor,HI,I,SIG,SIG,SVR,MoistMDryL,E_W_S,SigNegative,QStationary,SWQuad,LVorOther,LV
Jul2_Jul15,A,AB,PartInhibit,LessThanAve,Stability,ABI,N1GtLIGt_4,LessUnstable,Weak,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Dry,Dry,Neutral,PC,Clear,PC,PC,Strong,Other,Strong,None,Weak,None,DecCapIncIns,Decreasing,LessThanAve,None,Strong,Strong,Other,WeakPos,LittleChange,LessUnstable,ModerateOrLe,Dry,Steep,SVR,MarkedUpper,ACEFK,A,SIG,SIG,SVR,Other,MovingFtorOt,SigNegative,Other,SWQuad,Westerly,DenvCyclone
