aar_mod,aks_m2,aks_vgt,antplnt,bgbyg,dg25,dgv1059,dgv5980,exptgens,forfrugt,frspdag,jordinf,jordn,jordtype,keraks,komm,ksort,markgrm,mod_nmin,nedbarea,ngodn,ngodnn,ngodnt,ngtilg,nmin,nopt,nplac,nprot,ntilg,partigerm,pesticid,potnmin,protein,rokap,s2225,s2528,saakern,saamng,saatid,slt22,sort,sorttkv,spndx,srtprot,srtsize,tkv,tkvs,udb
x25,x650_750,x_550,x_175,x4_5_5_0,x27_5_32_5,x41_50,x0_5,x40_50,Clovergrass,x_15,x_99_1_00,x0_15,JB_3,x13_15,state3,x_85,x98__99,x0_15,x3___500_,x90_105,x120_135,x90_105,x45_60,x0_15,x120_135,Top_dressed,x_40,x_75,x98_99,x_2,x15_30,x11_5_12_0,x87_5_112_5,x1_5,x55_60,x_175,x50_70,x11_4_20_4,x3_5,Digger,x5,x9_10,x4,x3,x35_40,x55_60,x30_40
x10,x950_1150,x650_700,x375_425,x_3_0,x32_5_37_5,x61_70,x_35,x50_60,Cereals,x_15,x_95__97,x60_75,JB_6,x15_17,state1,x90_95,x85_90,x15_30,x2__375_500_,x60_75,x60_75,x120_135,x_45,x30_45,x135_150,Top_dressed,x80_100,x90_105,x90_93,x_2,x30_45,x10_5_11_0,x162_5_187_5,x0_1,x75_80,x_450,x230_250,x11_4_20_4,x3_5,Limbo,x5,x9_10,x2,x2,x_35,x30_35,x70_80
x_15,x550_650,x700_750,x375_425,x4_0_4_5,x37_5_47_5,x41_50,x5_10,x40_50,Clovergrass,x15_17,x93__95,x_120,JB_4,x21_23,state4,x_85,x94_95,x45_60,x2__375_500_,x_45,x_45,x45_60,x_45,x30_45,x120_135,Placed,x120_140,x105_120,x99_100,x_2,x75_90,x9_0_9_5,x112_5_137_5,x5_10,x30_35,x_450,x230_250,x_26_4,x3_5,Vintage,x4,x9_10,x5,x2,x_35,x44_46,x40_50
x25,x650_750,x950_1050,x325_375,x_3_0,x_22_5,x51_60,x_35,x30_40,Cereals,x_15,x_99_1_00,x30_45,JB_4,x_13,state4,x_98,x85_90,x0_15,x1___375_,x90_105,x90_105,x105_120,x_165,x30_45,x120_135,Top_dressed,x40_60,x_195,x85_90,x_2,x15_30,x_9,x112_5_137_5,x0_1,x45_50,x375_424,x210_230,x11_4_20_4,x0_1,Maresi,x6,x9_10,x5,x1,x_55,x50_55,x65_70
x5,x650_750,x750_850,x375_425,x4_5_5_0,x_22_5,x61_70,x10_15,x40_50,Cer_rotation,x15_17,x_99_1_00,x45_60,JB_4,x19_21,state0,x_85,x94_95,x15_30,x3___500_,x75_90,x75_90,x90_105,x75_90,x15_30,x120_135,Placed,x60_80,x120_135,x93_95,x_2,x30_45,x11_0_11_5,x137_5_162_5,x1_5,x75_80,x_450,x210_230,x26_3_10_4,x3_5,Brewster,x6,x9_10,x2,x2,x50_55,x35_40,x55_60
x_20,x_350,x_1050,x_175,x_5_0,x_22_5,x51_60,x0_5,x_30,Cereals,x_15,x_99_1_00,x30_45,JB_3,x17_19,state4,x_98,x97_98,x15_30,x1___375_,x60_75,x60_75,x75_90,x75_90,x0_15,x_120,worked_in_solil,x40_60,x120_135,x97_98,x_2,x0_15,x9_5_10_0,x87_5_112_5,x0_1,x30_35,x_175,x70_90,x21_4_26_4,x0_1,Blenheim,x6,x9_10,x1,x0,x35_40,x46_48,x30_40
x_10,x450_550,x950_1050,x175_225,x_3_0,x27_5_32_5,x25_40,x_35,x30_40,Cereals,x_15,x93__95,x60_75,JB_4,x17_19,state3,x95_98,x85_90,x45_60,x1___375_,x60_75,x60_75,x60_75,x45_60,x30_45,x120_135,Top_dressed,x80_100,x120_135,x93_95,x_2,x15_30,x9_0_9_5,x87_5_112_5,x0_1,x20_25,x175_225,x90_110,x11_4_20_4,x1_2,Collie,x2,x9_10,x1,x_1,x_35,x50_55,x50_55
x0,x350_450,x850_950,x325_375,x_3_0,x27_5_32_5,x25_40,x25_35,x50_60,Beets,x_15,x_99_1_00,x30_45,Jb_1_,x17_19,state1,x95_98,x99_100,x0_15,x3___500_,x105_120,x105_120,x120_135,x105_120,x0_15,x135_150,Placed,x60_80,x150_165,x99_100,x_2,x15_30,x10_5_11_0,x37_5_62_5,x0_1,x45_50,x325_375,x130_150,x_26_4,x3_5,Alis,x3,x9_10,x4,x_1,x50_55,x35_40,x30_40
x_25,x450_550,x_550,x275_325,x4_0_4_5,x_22_5,x61_70,x10_15,x50_60,Beets,x23_25,x_97__98,x_120,JB_5,x21_23,state0,x_85,x85_90,x60_75,x1___375_,x_45,x_45,x60_75,x_45,x30_45,x135_150,worked_in_solil,x120_140,x165_180,x85_90,x_2,x90_105,x9_0_9_5,x137_5_162_5,x1_5,x90_95,x325_375,x150_170,x_26_3,x3_5,Korinna,x5,x9_10,x6,x2,x47_5_50,x42_44,x_30
x_25,x450_550,x950_1050,x325_375,x3_5_4_0,x_22_5,x51_60,x15_25,x30_40,Cer_rotation,x19_21,x93__95,x90_105,JB_4,x_23,state3,x85_90,x75_80,x45_60,x2__375_500_,x_45,x_45,x60_75,x_45,x15_30,x_120,worked_in_solil,x100_120,x120_135,x80_85,x_2,x45_60,x10_0_10_5,x112_5_137_5,x1_5,x80_85,x_450,x210_230,x_26_3,x3_5,Polygena,x5,x9_10,x5,x_3,x45_47_5,x42_44,x50_55
