Age,SocioEcon,RiskAversion,MakeModel,VehicleYear,Antilock,Mileage,SeniorTrain,DrivingSkill,DrivQuality,Accident,Airbag,AntiTheft,CarValue,RuggedAuto,Cushioning,DrivHist,GoodStudent,HomeBase,ILiCost,MedCost,OtherCar,OtherCarCost,ThisCarDam,Theft,ThisCarCost,PropCost
Senior,UpperMiddle,Normal,FamilySedan,Older,False,Domino,False,SubStandard,Poor,Moderate,False,True,FiveThou,Football,Poor,One,False,Secure,Thousand,HundredThou,True,Thousand,Severe,False,TenThou,TenThou
Adult,Middle,Adventurous,FamilySedan,Current,True,FiftyThou,False,SubStandard,Poor,Mild,True,False,TwentyThou,Football,Good,Many,False,Suburb,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Adult,Prole,Normal,FamilySedan,Older,False,TwentyThou,False,SubStandard,Poor,None,False,False,FiveThou,Tank,Excellent,Many,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Prole,Adventurous,Economy,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Fair,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,FamilySedan,Current,False,FiftyThou,False,Expert,Excellent,None,True,False,TwentyThou,Football,Good,One,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Prole,Normal,Economy,Older,False,Domino,False,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Senior,UpperMiddle,Cautious,Luxury,Current,True,FiftyThou,True,SubStandard,Poor,Moderate,True,True,FiftyThou,Tank,Excellent,One,False,Secure,Thousand,Thousand,True,TenThou,Mild,False,Thousand,TenThou
Adult,UpperMiddle,Normal,Luxury,Older,True,FiftyThou,False,Normal,Normal,None,True,True,FiftyThou,EggShell,Fair,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Middle,Normal,SportsCar,Older,False,FiftyThou,False,Normal,Normal,None,False,False,TwentyThou,EggShell,Fair,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Older,False,TwentyThou,False,SubStandard,Poor,Moderate,False,False,FiveThou,Football,Good,Many,False,City,TenThou,Thousand,False,Thousand,Moderate,False,TenThou,TenThou
