AppOK,DataFile,AppData,PrtSpool,AppDtGnTm,PrtPScript,AvlblVrtlMmry,CblPrtHrdwrOK,PrtMem,PgOrnttnOK,PrntngArOK,CmpltPgPrntd,DSApplctn,PrtCbl,PrtPort,DS_LCLOK,PrtPath,PrtMpTPth,NtwrkCnfg,PTROFFLINE,DS_NTOK,PrntPrcssTm,DeskPrntSpd,DrvOK,DrvSet,DskLocal,PrtThread,EMFOK,EPSGrphc,FllCrrptdBffr,FntInstlltn,GDIIN,PrtDriver,GDIOUT,NetPrint,LclGrbld,NtGrbld,GrbldOtpt,GrbldPS,GrphcsRltdDrvrSttngs,HrglssDrtnAftrPrnt,IncmpltPS,LclOK,NetOK,NnPSGrphc,ScrnFntNtPrntrFnt,NnTTOK,PrtQueue,NtSpd,PrtSel,PrtDataOut,PC2PRT,PSERRMEM,PSGRAPHIC,PrntrAccptsTrtyp,PrtOn,PrtPaper,PrtTimeOut,TnrSpply,PrtData,Problem1,Problem2,Problem3,Problem4,TrTypFnts,TTOK,Problem5,Problem6,PrtFile,PrtIcon,PrtStatMem,PrtStatOff,PrtStatPaper,PrtStatToner,REPEAT,TstpsTxt
Correct,Correct,Correct,Enabled,Fast_Enough,Yes,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,No,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,No,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,Yes,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,DOS,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,No,Adequate____1Mb_,Operational,Less_than_2Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,Too_Slow,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,No,No,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,No,Yes,No,Short,Slow,Yes,No,No,No_Error,No,Yes,Yes,Has_Paper,Long_Enough,Adequate,No,No_Output,Too_Long,Yes,No,Yes,Yes,Yes,No,No,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,Yes,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,DOS,Connected,Yes,Yes,Correct,Correct,Correct,Offline,No,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,No,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,Yes,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Incorrect,Correct,Correct,Offline,No,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Grayed_Out,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Disabled,Fast_Enough,No,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,No,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,No,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,No,No,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Disabled,Fast_Enough,No,Adequate____1Mb_,Operational,Greater_than_2_Mb,Incorrect,Correct,No,Windows,Connected,Yes,Yes,Incorrect,Correct,Correct,Offline,No,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,No,Yes,No,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,No,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,Yes,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Loose,Yes,No,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,No,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,No,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,No,No_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
Correct,Correct,Correct,Enabled,Fast_Enough,No,Adequate____1Mb_,Operational,Greater_than_2_Mb,Correct,Correct,Yes,Windows,Connected,Yes,Yes,Correct,Correct,Correct,Online,Yes,Fast_Enough,OK,Reinstalled,Correct,Greater_than_2_Mb,OK,Yes,No____TIF___WMF___BMP_,Intact__not_Corrupt_,Verified,Yes,Yes,Yes,No__Local_printer_,Yes,Yes,No,No,Correct,Fast_Enough,Yes,Yes,Yes,Yes,Yes,Yes,Short,OK,Yes,Yes,Yes,No_Error,Yes,Yes,Yes,Has_Paper,Long_Enough,Adequate,Yes,Normal_Output,OK,Yes,Yes,Yes,Yes,Yes,No,Yes,Normal,No_Error,No_Error,No_Error,No_Error,Yes__Always_the_Same_,x_1_Mb_Available_VM
